    college_code,college_name,branch,oc,bc,bcm,mbc,sc,sca,st
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BIO MEDICAL ENGINEERING (SS),195.5,193.0,190.0,193.0,189.5,179.0,185.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING,195.5,193.5,195.0,194.5,193.0,182.5,182.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.0,199.5,199.0,196.5,191.0,196.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING,200.0,200.0,199.5,200.0,198.5,198.7,197.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199.5,198.5,199.0,197.5,192.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRICAL AND ELECTRONICS ENGINEERING,198.0,197.0,196.0,197.5,193.5,188.5,197.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,Electronics Engineering (VLSI Design and Technology) (SS),197.5,197.0,196.5,197.0,192.5,186.0,189.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199.0,198.5,,198.5,195.5,188.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GEO INFORMATICS,194.0,189.5,191.5,188.5,180.5,181.5,186.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL ENGINEERING,192.0,189.0,182.0,187.0,182.5,173.4,175.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INFORMATION TECHNOLOGY (SS),199.0,198.0,198.0,198.5,195.0,185.5,191.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MATERIAL SCIENCE AND ENGINEERING (SS),192.5,189.5,190.5,187.0,180.5,173.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING,196.5,195.0,194.5,194.8,189.0,182.5,195.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MINING ENGINEERING,193.5,188.0,185.5,190.5,182.0,172.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MANUFACTURING ENGINEERING,189.5,187.0,184.0,184.5,181.5,176.5,181.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,PRINTING & PACKING TECHNOLOGY,187.0,182.0,182.5,180.0,172.0,156.0,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING (TAMIL MEDIUM),192.5,184.0,185.0,186.0,185.5,182.0,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING (TAMIL MEDIUM),188.5,184.5,184.0,183.0,175.5,174.0,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,APPAREL TECHNOLOGY (SS),176.5,170.5,175.5,167.0,162.0,144.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CHEMICAL ENGINEERING,195.0,191.0,193.5,192.5,188.0,177.5,169.0
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CHEMICAL ENGINEERING (SS),192.0,190.0,185.5,188.0,183.0,163.0,168.0
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CERAMIC TECHNOLOGY (SS),179.0,172.5,177.0,172.5,162.5,121.5,155.5
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,FOOD TECHNOLOGY (SS),191.0,186.5,189.0,184.0,181.0,167.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL BIO TECHNOLOGY,193.5,188.7,182.0,184.0,182.5,,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL BIO TECHNOLOGY (SS),188.5,187.5,181.5,183.0,179.0,164.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,LEATHER TECHNOLOGY,178.5,170.0,175.5,172.5,165.5,141.5,163.5
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,PHARMACEUTICAL TECHNOLOGY (SS),184.5,180.5,183.5,179.0,173.5,160.0,168.0
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),188.0,184.0,186.0,184.0,179.0,166.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,TEXTILE TECHNOLOGY,180.5,171.5,179.0,169.0,168.5,153.5,
3,School of Architecture and Planning Anna University Chennai 600025,B.Plan,187.0,180.5,180.0,179.5,178.0,151.5,156.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AERONAUTICAL ENGINEERING,196.5,194.5,194.0,194.5,190.0,179.0,189.0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198.5,197.5,198.0,197.5,194.5,183.0,191.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AUTOMOBILE ENGINEERING,193.5,191.0,189.0,190.5,184.5,176.5,174.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,COMPUTER SCIENCE AND ENGINEERING (SS),198.5,198.0,198.0,198.0,196.0,186.5,191.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,COMPUTER SCIENCE AND ENGINEERING,199.5,199.0,198.5,199.0,197.0,187.5,194.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,ELECTRONICS AND COMMUNICATION ENGINEERING,198.5,198.0,198.5,198.0,194.5,193.5,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,ELECTRONICS AND INSTRUMENTATION ENGINEERING,196.5,196.0,195.0,195.0,191.0,182.5,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.0,197.5,196.5,197.5,194.0,184.0,193.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,INFORMATION TECHNOLOGY (SS),198.0,197.5,197.0,197.5,193.5,184.0,190.0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,PRODUCTION ENGINEERING,190.5,187.5,188.5,185.5,182.0,173.5,173.0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,ROBOTICS AND AUTOMATION (SS),196.5,195.5,196.0,195.5,190.0,187.0,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,RUBBER AND PLASTIC TECHNOLOGY,183.0,179.0,180.5,176.5,174.0,148.0,
